sample_id,task,comparable_needle_count,near_hit_rate,exact_hit_rate,min_distance,max_log10_ratio,max_ratio,last_q_abs_pos,last_q_log10_ratio,last_q_mean_ratio
rank0|global_req0|task=niah_single_3|doc=0,niah_single_3,1,0.7589285714285714,0.40625,0,3.9789741039276123,9527.393524732937,32530,-0.7093518972396851,0.12090614438056946
rank0|global_req1000|task=niah_single_1|doc=0,niah_single_1,1,0.7544642857142857,0.6205357142857143,0,3.757296085357666,5718.683817778815,32477,-0.6451089978218079,0.08955436944961548
rank0|global_req1008|task=niah_single_1|doc=8,niah_single_1,1,0.6339285714285714,0.53125,0,4.013625621795654,10318.715101398424,32486,-0.7153656482696533,0.09943372011184692
rank0|global_req1016|task=niah_single_1|doc=16,niah_single_1,1,0.6205357142857143,0.5089285714285714,0,3.325815439224243,2117.46109316041,32483,-0.834136962890625,0.10275483876466751
rank0|global_req1024|task=niah_single_1|doc=24,niah_single_1,1,0.9196428571428571,0.7857142857142857,0,3.411802053451538,2581.0834936171173,32477,-0.8488189578056335,0.09469200670719147
rank0|global_req1032|task=niah_single_1|doc=32,niah_single_1,1,0.7098214285714286,0.4419642857142857,0,4.169818878173828,14784.91656968735,32474,-0.8890969753265381,0.08841738849878311
rank0|global_req1040|task=niah_single_1|doc=40,niah_single_1,1,0.8883928571428571,0.75,0,3.6855108737945557,4847.422493699736,32486,-0.7665501236915588,0.08972378820180893
rank0|global_req1048|task=niah_single_1|doc=48,niah_single_1,1,0.9375,0.8392857142857143,0,4.7565765380859375,57092.168394943285,32486,-0.8094209432601929,0.09131478518247604
rank0|global_req104|task=niah_single_3|doc=104,niah_single_3,1,0.9776785714285714,0.6919642857142857,0,4.286117076873779,19324.892062082272,32530,-0.380452960729599,0.13098078966140747
rank0|global_req1056|task=niah_single_1|doc=56,niah_single_1,1,0.7142857142857143,0.6205357142857143,0,3.324716091156006,2112.1078522599146,32477,-0.8068940043449402,0.0982394739985466
rank0|global_req1064|task=niah_single_1|doc=64,niah_single_1,1,0.6741071428571429,0.38839285714285715,0,3.1753268241882324,1497.3620578072528,32477,-0.7306419014930725,0.0911005362868309
rank0|global_req1072|task=niah_single_1|doc=72,niah_single_1,1,0.9330357142857143,0.8883928571428571,0,5.203012466430664,159592.4957632929,32480,-0.8215815424919128,0.0885929986834526
rank0|global_req1080|task=niah_single_1|doc=80,niah_single_1,1,0.9151785714285714,0.71875,0,4.318242073059082,20808.562203071568,32477,-0.7720082402229309,0.09295403957366943
rank0|global_req1088|task=niah_single_1|doc=88,niah_single_1,1,0.9151785714285714,0.03125,0,3.056476354598999,1138.8757734722474,32480,-0.76491379737854,0.09822817146778107
rank0|global_req1096|task=niah_single_1|doc=96,niah_single_1,1,0.4375,0.2767857142857143,0,4.103255748748779,12683.985846602298,32474,-0.8209401369094849,0.08787636458873749
rank0|global_req1104|task=niah_single_1|doc=104,niah_single_1,1,0.5848214285714286,0.29910714285714285,0,3.4211246967315674,2637.088450721071,32477,-0.6521937847137451,0.09569327533245087
rank0|global_req1112|task=niah_single_1|doc=112,niah_single_1,1,0.9419642857142857,0.8392857142857143,0,2.7379605770111084,546.9663098903587,32486,-0.7912731170654297,0.09379515051841736
rank0|global_req1120|task=niah_single_1|doc=120,niah_single_1,1,0.8571428571428571,0.7767857142857143,0,3.3731799125671387,2361.4562968981895,32480,-0.7894296050071716,0.09756866842508316
rank0|global_req1128|task=niah_single_1|doc=128,niah_single_1,1,0.6383928571428571,0.5178571428571429,0,4.261213302612305,18247.917240011266,32477,-0.8321087956428528,0.093715600669384
rank0|global_req112|task=niah_single_3|doc=112,niah_single_3,1,0.9017857142857143,0.5133928571428571,0,3.287914276123047,1940.5028106887466,32531,-0.6619438529014587,0.1267322599887848
rank0|global_req1136|task=niah_single_1|doc=136,niah_single_1,1,0.8616071428571429,0.6160714285714286,0,4.849736213684082,70751.59154458938,32480,-0.8949220776557922,0.09190826863050461
rank0|global_req1144|task=niah_single_1|doc=144,niah_single_1,1,0.5892857142857143,0.35267857142857145,0,4.2161102294921875,16447.891387528893,32480,-0.7823212742805481,0.09463931620121002
rank0|global_req1152|task=niah_single_1|doc=152,niah_single_1,1,0.7366071428571429,0.5625,0,5.4664411544799805,292712.42284816556,32474,-0.8567229509353638,0.08707617968320847
rank0|global_req1160|task=niah_single_1|doc=160,niah_single_1,1,0.38839285714285715,0.22321428571428573,0,4.526261806488037,33594.00685420823,32477,-0.8668600916862488,0.08839264512062073
rank0|global_req1168|task=niah_single_1|doc=168,niah_single_1,1,0.7723214285714286,0.044642857142857144,0,3.1906821727752686,1551.2513511321538,32483,-0.7944390177726746,0.0973806232213974
rank0|global_req1176|task=niah_single_1|doc=176,niah_single_1,1,0.35267857142857145,0.28125,0,4.722916603088379,52834.37849763817,32477,-0.7161301970481873,0.08379998058080673
rank0|global_req1184|task=niah_single_1|doc=184,niah_single_1,1,0.9732142857142857,0.9151785714285714,0,4.053571701049805,11312.84146404728,32483,-0.8444347977638245,0.10331033915281296
rank0|global_req1192|task=niah_single_1|doc=192,niah_single_1,1,0.8883928571428571,0.71875,0,4.128572463989258,13445.360898550649,32480,-0.7816243171691895,0.11063680052757263
rank0|global_req1200|task=niah_single_1|doc=200,niah_single_1,1,0.8660714285714286,0.75,0,3.0733094215393066,1183.8847369955427,32483,-0.6165178418159485,0.10896336287260056
rank0|global_req1208|task=niah_single_1|doc=208,niah_single_1,1,0.8928571428571429,0.6830357142857143,0,2.9219112396240234,835.4322565419759,32480,-0.7983328104019165,0.09806515276432037
rank0|global_req120|task=niah_single_3|doc=120,niah_single_3,1,0.4732142857142857,0.23214285714285715,0,4.211249351501465,16264.823375105896,32530,-0.5774977207183838,0.12875768542289734
rank0|global_req1216|task=niah_single_1|doc=216,niah_single_1,1,0.8080357142857143,0.6696428571428571,0,2.6597747802734375,456.85121080692124,32477,-0.8157451748847961,0.09107808768749237
rank0|global_req1224|task=niah_single_1|doc=224,niah_single_1,1,0.6517857142857143,0.48214285714285715,0,3.554269790649414,3583.189614236403,32474,-0.8142188787460327,0.08918897062540054
rank0|global_req1232|task=niah_single_1|doc=232,niah_single_1,1,0.7678571428571429,0.625,0,3.358941078186035,2285.288731528106,32483,-0.6946552991867065,0.10743167251348495
