layer,g_max,l_block,E_M,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,sample_groups,layer_group_count
0,2048,1,2.5538035558146315,0.2183328475663072,0.009530749052754299,0.7721364033809385,0.15114437259318458,912.71875,1075.234375,1075.234375,358.4114583333333,357.3958333333333,2.2864583333333335,192,8
7,256,1,2.232594600195226,0.3772119731482138,0.012981453508346194,0.60980657334344,0.29607889155677747,4264.651041666667,6058.421875,6058.421875,2019.4739583333333,1910.1770833333333,785.890625,192,8
14,inf,0,2.0752973507430132,0.44611335679181086,0.03247593567336494,0.5214107075348242,0.3082342164189955,5946.9375,8596.75,8596.75,2865.5833333333335,2865.5833333333335,0.0,192,8
21,inf,0,2.098076923076923,0.4384899758282383,0.02494312526660031,0.5365668989051614,0.3006410256410257,6148.239583333333,8791.25,8791.25,2930.4166666666665,2930.4166666666665,0.0,192,8
27,256,1,1.7868921945535607,0.6026213517718719,0.00786510190269531,0.3895135463254328,0.4534358370227619,5335.473958333333,9761.84375,9761.84375,3253.9479166666665,2985.8958333333335,873.03125,192,8
