rank,lambda_rel,g_max,k_max,token_exact_entry_lift,needle_token_exact_entry_rate,random_token_exact_entry_rate,token_isolation_lift,needle_token_isolated_rate,random_token_isolated_rate,needle_cluster_merged_by_ward_rate,needle_token_ward_merged_rate,span_any_ward_merged_rate,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,span_all_tokens_exact_entry_lift,span_all_tokens_exact_entry_rate,random_span_all_tokens_exact_entry_rate,span_all_tokens_isolation_lift,span_all_tokens_isolated_rate,random_span_all_tokens_isolated_rate,span_any_token_exact_entry_lift,span_any_token_exact_entry_rate,random_span_any_token_exact_entry_rate,span_any_token_isolation_lift,span_any_token_isolated_rate,random_span_any_token_isolated_rate,cluster_size_mean,cluster_size_quantiles.p50,cluster_size_quantiles.p90,cluster_size_quantiles.p99,cluster_size_max,cluster_count_mean,segment_count_mean,sample_groups,sample_groups_with_needle,span_count,needle_token_count,random_token_count,layer_group_count
15,1.0,4096,32,6.785010145093986,0.5907708333333334,0.08707,68.62755314714465,0.27439583333333334,0.003998333333333333,0.4401041666666667,0.20052083333333334,0.4401041666666667,0.9640292663472415,673.5514322916666,673.5514322916666,698.68359375,14.072303555422767,0.306640625,0.021790364583333333,6125.0,0.15950520833333334,2.604166666666667e-05,2.471085070765485,0.845703125,0.3422395833333333,8.704167120008705,0.5208333333333334,0.05983723958333333,1650.7499583333333,539.0,4648.0,14885.0,18266.0,25.132161458333332,701.5930989583334,1536,1536,1536,48000,4800000,1536
16,0.875,8192,32,6.584156257243374,0.5977083333333333,0.09077979166666666,72.12674820663675,0.2911666666666667,0.004036875,0.5618489583333334,0.2876875,0.5618489583333334,0.980560138279833,1362.45703125,1362.45703125,1389.4680989583333,13.918512441892261,0.3313802083333333,0.02380859375,4271.428571428572,0.19466145833333334,4.557291666666667e-05,2.4157470921562783,0.84375,0.3492708333333333,8.541114058355436,0.5240885416666666,0.061360677083333336,1498.3034166666666,547.0,3726.0,13732.0,17615.0,27.011067708333332,1391.201171875,1536,1536,1536,48000,4800000,1536
17,0.875,inf,32,6.580215744778518,0.5972916666666667,0.09077083333333333,72.18635401063995,0.2911666666666667,0.004033541666666667,0.5638020833333334,0.28933333333333333,0.5638020833333334,0.9805348774124089,1362.5559895833333,1362.5559895833333,1389.6048177083333,13.996719518862765,0.3333333333333333,0.023815104166666667,4314.285714285715,0.19661458333333334,4.557291666666667e-05,2.414018081834281,0.8430989583333334,0.3492513020833333,8.53050397877984,0.5234375,0.061360677083333336,1497.7724166666667,547.0,3729.0,13732.0,17615.0,27.048828125,1389.6048177083333,1536,1536,1536,48000,4800000,1536
18,0.875,4096,32,6.54460700731533,0.5949375,0.090905,72.0381110190555,0.28983333333333333,0.004023333333333334,0.5598958333333334,0.2862708333333333,0.5598958333333334,0.9805646239496862,1361.7923177083333,1361.7923177083333,1388.7838541666667,13.88055631306245,0.3313802083333333,0.023873697916666665,4271.428571428572,0.19466145833333334,4.557291666666667e-05,2.4051717713689547,0.8404947916666666,0.349453125,8.582685549994675,0.5247395833333334,0.06113932291666667,1497.9529166666666,553.5,3725.0,13732.0,17615.0,26.991536458333332,1391.759765625,1536,1536,1536,48000,4800000,1536
19,1.0,inf,64,4.650488683016849,0.6751666666666667,0.145181875,19.394560782120593,0.39014583333333336,0.02011625,0.38671875,0.13495833333333335,0.38671875,0.9148876134203333,458.064453125,458.064453125,500.6783854166667,10.83986562150056,0.3151041666666667,0.029069010416666666,2420.0,0.15755208333333334,6.510416666666667e-05,1.8612113918973123,0.90625,0.4869140625,3.314445172129047,0.7578125,0.22863932291666667,1371.5598125,264.0,3773.199999999997,14885.0,18263.0,42.613932291666664,500.6783854166667,1536,1536,1536,48000,4800000,1536
20,1.0,8192,64,4.648695609788267,0.6755416666666667,0.14531854166666666,19.2819286053082,0.38958333333333334,0.020204583333333335,0.388671875,0.13347916666666668,0.388671875,0.9149224569226807,457.8984375,457.8984375,500.4778645833333,10.77335717478766,0.3138020833333333,0.029127604166666668,2172.727272727273,0.15559895833333334,7.161458333333333e-05,1.8594019436164098,0.9055989583333334,0.4870377604166667,3.29726505921445,0.755859375,0.22923828125,1370.4142708333334,264.0,3774.0,14885.0,18266.0,42.579427083333336,503.21484375,1536,1536,1536,48000,4800000,1536
21,1.0,4096,64,4.6342254223222685,0.6759375,0.14585770833333334,19.067655737023646,0.38235416666666666,0.0200525,0.380859375,0.13097916666666667,0.380859375,0.9147558127556589,456.7174479166667,456.7174479166667,499.2779947916667,10.92005359535507,0.318359375,0.029153645833333332,2700.0,0.158203125,5.859375e-05,1.8558630832999063,0.9036458333333334,0.4869140625,3.339141363649347,0.7610677083333334,0.22792317708333334,1366.8434583333333,260.0,3775.0999999999985,14885.0,18266.0,42.560546875,507.7845052083333,1536,1536,1536,48000,4800000,1536
22,0.875,inf,64,4.44502383292219,0.6926041666666667,0.155815625,21.375275468996456,0.39808333333333334,0.018623541666666667,0.4635416666666667,0.21320833333333333,0.4635416666666667,0.9537444127872023,950.1927083333334,950.1927083333334,996.2760416666666,10.946385052802599,0.3509114583333333,0.03205729166666667,1776.4705882352944,0.19661458333333334,0.00011067708333333333,1.7828387393604785,0.908203125,0.5094140625,3.427288305855936,0.7552083333333334,0.2203515625,1199.0584583333334,249.0,3162.899999999958,13732.0,17615.0,46.083333333333336,996.2760416666666,1536,1536,1536,48000,4800000,1536
23,0.875,8192,64,4.443841591673861,0.6927708333333333,0.15589458333333334,21.422482446104492,0.39789583333333334,0.01857375,0.46484375,0.21370833333333333,0.46484375,0.9537939320096427,949.9837239583334,949.9837239583334,996.0052083333334,10.87840585603904,0.3483072916666667,0.03201822916666667,1758.8235294117649,0.19466145833333334,0.00011067708333333333,1.7826336975273145,0.908203125,0.50947265625,3.4163237514432048,0.7513020833333334,0.21991536458333333,1199.9554375,248.0,3189.0999999999985,13732.0,17615.0,46.021484375,998.71484375,1536,1536,1536,48000,4800000,1536
24,0.875,4096,64,4.4067494163973375,0.6894166666666667,0.156445625,21.493164139675084,0.396625,0.018453541666666667,0.45703125,0.21295833333333333,0.45703125,0.9537052934261071,947.5,947.5,993.4934895833334,10.932082398531511,0.3489583333333333,0.03192057291666667,2135.714285714286,0.19466145833333334,9.114583333333334e-05,1.779445742222903,0.9075520833333334,0.51001953125,3.3988049458675973,0.748046875,0.22009114583333333,1197.4454166666667,243.0,3170.0,13732.0,17615.0,45.993489583333336,1001.349609375,1536,1536,1536,48000,4800000,1536
