rank,scheme,lambda_rel,g_max,l_block,k_max,E_M,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,entry_count_mean_ratio_vs_single_cluster,logical_anchor_count_mean_ratio_vs_single_cluster,fixed3_anchor_count_mean_ratio_vs_single_cluster,current_scheme_physical_slot_count_mean_ratio_vs_vanilla_full,sample_groups,layer_group_count
11,semantic,0.875,inf,0,64,2.100719253297648,0.9537444127872023,950.1927083333334,950.1927083333334,996.2760416666666,0.42849148241407337,0.04229778187420529,0.5292107357117213,0.299760248900784,22361.568359375,31934.16015625,31934.16015625,10644.720052083334,10644.720052083334,0.0,10.440691538272917,8.356080724706505,10.440691538272917,9.267470903869407,1536,
12,semantic,0.875,inf,1,64,2.100719253297648,0.9537444127872023,950.1927083333334,950.1927083333334,996.2760416666666,0.42849148241407337,0.04229778187420529,0.5292107357117213,0.299760248900784,22361.568359375,31934.16015625,31934.16015625,10644.720052083334,10644.720052083334,0.0,10.440691538272917,8.356080724706505,10.440691538272917,9.267470903869407,1536,
13,semantic,0.875,4096,1,32,2.2957438597977347,0.9805646239496862,1361.7923177083333,1361.7923177083333,1388.7838541666667,0.32789189918413,0.04847234183400551,0.6236357589818645,0.2349083706047238,19055.83984375,24906.611328125,24906.611328125,8302.203776041666,8300.5078125,1.8346354166666667,8.143074527974171,7.120794635350169,8.143074527974171,7.228037144800483,1536,
14,semantic,0.875,8192,1,32,2.2959760375715508,0.980560138279833,1362.45703125,1362.45703125,1389.4680989583333,0.32776835795890796,0.04848724651063344,0.6237443955304586,0.23477105647048657,19043.862630208332,24886.490234375,24886.490234375,8295.496744791666,8294.451822916666,1.0748697916666667,8.136496051125913,7.116318984912652,8.136496051125915,7.222197891475211,1536,
15,semantic,0.875,inf,0,32,2.2959982508245385,0.9805348774124089,1362.5559895833333,1362.5559895833333,1389.6048177083333,0.3277595244880639,0.048482700199333775,0.6237577753126023,0.23466724972515385,19039.789713541668,24877.79296875,24877.79296875,8292.59765625,8292.59765625,0.0,8.133652529731497,7.114797015616729,8.133652529731497,7.219673896614268,1536,
16,semantic,0.875,inf,1,32,2.2959982508245385,0.9805348774124089,1362.5559895833333,1362.5559895833333,1389.6048177083333,0.3277595244880639,0.048482700199333775,0.6237577753126023,0.23466724972515385,19039.789713541668,24877.79296875,24877.79296875,8292.59765625,8292.59765625,0.0,8.133652529731497,7.114797015616729,8.133652529731497,7.219673896614268,1536,
17,semantic,0.875,4096,1,16,2.433982455312826,0.9922787355735985,1932.8743489583333,1932.8743489583333,1947.9147135416667,0.2574318522074735,0.05115384027222717,0.6914143075202993,0.18877350570461215,14714.460286458334,18138.53515625,18138.53515625,6046.178385416667,6045.42578125,0.8098958333333334,5.930290622828886,5.49850600808084,5.930290622828886,5.263903793833132,1536,
18,semantic,0.875,inf,0,16,2.4340821068938805,0.9922732581746362,1933.08203125,1933.08203125,1948.134765625,0.25741902052187554,0.05107985206236823,0.6915011274157562,0.1886392977020398,14709.541666666666,18129.47265625,18129.47265625,6043.157552083333,6043.157552083333,0.0,5.927327690138543,5.496668016068258,5.927327690138543,5.26127380592503,1536,
19,semantic,0.875,inf,1,16,2.4340821068938805,0.9922732581746362,1933.08203125,1933.08203125,1948.134765625,0.25741902052187554,0.05107985206236823,0.6915011274157562,0.1886392977020398,14709.541666666666,18129.47265625,18129.47265625,6043.157552083333,6043.157552083333,0.0,5.927327690138543,5.496668016068258,5.927327690138543,5.26127380592503,1536,
20,semantic,0.875,8192,1,16,2.4340989557422867,0.9922786374522177,1933.0169270833333,1933.0169270833333,1948.05859375,0.2573939040216044,0.05111323621450467,0.691492859763891,0.1887113607862556,14713.584635416666,18136.06640625,18136.06640625,6045.35546875,6044.776692708333,0.5930989583333334,5.929483479096,5.498178794413477,5.929483479095999,5.263187348851269,1536,
21,semantic,0.875,4096,1,15,2.4448652836073075,0.9929416194001948,1995.193359375,1995.193359375,2009.3763020833333,0.2518214288496877,0.05149185869331722,0.6966867124569951,0.18514149749123443,14300.599609375,17549.794921875,17549.794921875,5849.931640625,5849.23828125,0.7408854166666666,5.737805360864768,5.343854367779404,5.737805360864767,5.093048103083434,1536,
22,semantic,0.875,inf,0,15,2.4449107844837408,0.9929378736974346,1995.5006510416667,1995.5006510416667,2009.693359375,0.25179109881942574,0.051507017877407704,0.6967018833031666,0.1850297385054197,14291.310546875,17535.990234375,17535.990234375,5845.330078125,5845.330078125,0.0,5.733291997016633,5.3403832268084575,5.733291997016633,5.089041905985489,1536,
23,semantic,0.875,inf,1,15,2.4449107844837408,0.9929378736974346,1995.5006510416667,1995.5006510416667,2009.693359375,0.25179109881942574,0.051507017877407704,0.6967018833031666,0.1850297385054197,14291.310546875,17535.990234375,17535.990234375,5845.330078125,5845.330078125,0.0,5.733291997016633,5.3403832268084575,5.733291997016633,5.089041905985489,1536,
24,semantic,0.875,8192,1,15,2.444995890504605,0.9929418716837067,1995.3567708333333,1995.3567708333333,2009.5403645833333,0.2517821359533751,0.051439837588644746,0.6967780264579801,0.18507513520901298,14296.919270833334,17543.849609375,17543.849609375,5847.949869791667,5847.420572916667,0.5423177083333334,5.73586157484981,5.342479097250335,5.73586157484981,5.091322740326481,1536,
