g_max,l_block,score,key_ratio_median,key_ratio_mean,key_ratio_p90,key_ratio_max,key_wins,key_valid,value_ratio_median,value_ratio_mean,value_ratio_p90,value_ratio_max,value_wins,value_valid,span_p99_ratio_median,span_p99_ratio_p90,entry_count_ratio_median,entry_count_ratio_p90,layer_group_count
256,1,0.6462539194727843,0.5126169087395822,0.48416601514640084,0.7048027576101075,0.8404759489622479,40,40,0.8147295208440073,0.8038650591228412,0.955443219102073,1.0454296391176854,37,40,195.31483870967725,223.4943870967749,1.0353561415277706,1.6491494229148393,40
256,2,0.6476957057115018,0.5144246330052922,0.48434177511612786,0.7039562914978299,0.8403510840775836,40,40,0.81549307766684,0.8042846229665349,0.9560445597398755,1.044828901839956,37,40,175.6887096774193,196.8322580645161,1.0744018439203948,1.8933587904432634,40
256,3,0.650667187074,0.5186765489716343,0.48529454783440473,0.7064994921044624,0.842717611015797,40,40,0.816246250527793,0.8062733072244004,0.9599841454229546,1.0480995996128832,37,40,149.69354838709677,170.00967741935486,1.1192269982971257,2.1266766431016393,40
1024,1,0.6515565723905747,0.5176874018256339,0.4887337234935088,0.7031652302997422,0.8277018687555197,40,40,0.8200430714138607,0.8084270866365315,0.9458478549740419,1.0400846550579734,37,40,196.74193548387098,234.30290322580646,0.9813973889261571,1.6187384969984693,40
1024,2,0.6523707357980144,0.5186169414596123,0.48905323685868973,0.7048899023531667,0.8279912769220303,40,40,0.820620274624765,0.8090314476010111,0.9467851172524666,1.0407528329016416,37,40,171.76016129032217,207.7290322580645,1.0301271135421506,1.784034263893906,40
8192,1,0.6532048502786341,0.5193463109832039,0.49170385356375557,0.7131322417680981,0.8291307280997603,40,40,0.8215646619685564,0.8108116804862903,0.9450403487553289,1.0566886830189843,37,40,199.70080645161286,237.57645161290324,0.9784474603092695,1.556397818944906,40
8192,2,0.6533133185717666,0.5194379450284174,0.49176258254227634,0.7134847886348451,0.8293258107183882,40,40,0.8216925550171428,0.8109071288085126,0.9452171209750876,1.0567455631122435,37,40,193.55983870967742,228.03529032258044,0.9797547173056746,1.6195692932211847,40
4096,1,0.6533760803623692,0.5189828481948175,0.4907945414034918,0.7095558091664157,0.8282046164266336,40,40,0.8225711194013137,0.8099975715331429,0.9456078623024871,1.0524567748976312,37,40,198.5122580645163,237.13225806451615,0.9701394980821163,1.5664722981922015,40
inf,0,0.6534605111716938,0.5197237712041206,0.4923814594650153,0.7143008047373504,0.8319126781043416,40,40,0.8216107542501914,0.8115814278376767,0.946808572862216,1.0584435457237706,37,40,213.77419354838707,257.31290322580645,0.9694514680840085,1.5289574625453672,40
inf,1,0.6534605111716938,0.5197237712041206,0.4923814594650153,0.7143008047373504,0.8319126781043416,40,40,0.8216107542501914,0.8115814278376767,0.946808572862216,1.0584435457237706,37,40,213.77419354838707,257.31290322580645,0.9694514680840085,1.5289574625453672,40
inf,2,0.6534605111716938,0.5197237712041206,0.4923814594650153,0.7143008047373504,0.8319126781043416,40,40,0.8216107542501914,0.8115814278376767,0.946808572862216,1.0584435457237706,37,40,213.77419354838707,257.31290322580645,0.9694514680840085,1.5289574625453672,40
inf,3,0.6534605111716938,0.5197237712041206,0.4923814594650153,0.7143008047373504,0.8319126781043416,40,40,0.8216107542501914,0.8115814278376767,0.946808572862216,1.0584435457237706,37,40,213.77419354838707,257.31290322580645,0.9694514680840085,1.5289574625453672,40
4096,2,0.6534799781538615,0.5190966568986367,0.4908602958561918,0.7091987434561196,0.8281336593782935,40,40,0.8226523445543168,0.8100904274752126,0.945636870199468,1.052601244690781,37,40,180.7741935483871,217.81867741935523,0.978137846810121,1.6853363606653249,40
8192,3,0.653780978246985,0.5200933347094239,0.49195727399120665,0.7135762374686124,0.8293494781792947,40,40,0.8218324269746498,0.8111857896839612,0.9451925443691195,1.0566357286798385,37,40,188.4698387096774,225.07741935483872,0.9971188743829231,1.7241154514336827,40
4096,3,0.6545919863958727,0.5206710982045901,0.4913420253973926,0.7095445645059676,0.8285399449961496,40,40,0.8229584283269075,0.8108095153132027,0.9462833809454256,1.0527647399430207,37,40,169.79032258064518,204.7541935483879,1.0098216282229906,1.8216935858403425,40
1024,3,0.6552421762535356,0.5217246200582698,0.48992899668844725,0.7065394456012698,0.8263182380933223,40,40,0.8229289802223969,0.8103840238042423,0.9471101208605155,1.0419000357765047,37,40,153.27419354838707,177.79354838709676,1.0721657464265442,1.9743708825704798,40
