rank,scheme,g_max,l_block,E_M,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,entry_count_mean_ratio_vs_single_cluster,logical_anchor_count_mean_ratio_vs_single_cluster,fixed3_anchor_count_mean_ratio_vs_single_cluster,current_scheme_physical_slot_count_mean_ratio_vs_vanilla_full,sample_groups,layer_group_count
1,semantic,256,1,2.037554171950893,0.4712811878874246,0.019883452274257706,0.5088353598383176,0.36588762108042105,4643.125651041667,7322.244140625,7322.244140625,2440.748046875,2278.7740885416665,861.216796875,33.18864199716714,22.737199678637012,33.18864199716714,2.1249559779322853,1536,
2,semantic,inf,0,2.0377414239250617,0.47278577875446376,0.01668701856601056,0.5105272026795257,0.32075285869164605,4597.770833333333,6768.921875,6768.921875,2256.3072916666665,2256.3072916666665,0.0,30.6806657223796,22.51509895939604,30.680665722379604,1.9643787787182587,1536,
3,semantic,inf,1,2.0377414239250617,0.47278577875446376,0.01668701856601056,0.5105272026795257,0.32075285869164605,4597.770833333333,6768.921875,6768.921875,2256.3072916666665,2256.3072916666665,0.0,30.6806657223796,22.51509895939604,30.680665722379604,1.9643787787182587,1536,
4,semantic,inf,2,2.0377414239250617,0.47278577875446376,0.01668701856601056,0.5105272026795257,0.32075285869164605,4597.770833333333,6768.921875,6768.921875,2256.3072916666665,2256.3072916666665,0.0,30.6806657223796,22.51509895939604,30.680665722379604,1.9643787787182587,1536,
5,semantic,inf,3,2.0377414239250617,0.47278577875446376,0.01668701856601056,0.5105272026795257,0.32075285869164605,4597.770833333333,6768.921875,6768.921875,2256.3072916666665,2256.3072916666665,0.0,30.6806657223796,22.51509895939604,30.680665722379604,1.9643787787182587,1536,
6,semantic,8192,1,2.0418266336171285,0.4705880662427704,0.01699723389733089,0.5124146998598987,0.3270267108635103,4625.514973958333,6873.251953125,6873.251953125,2291.083984375,2265.380859375,32.516276041666664,31.153549929178467,22.650960900836562,31.15354992917847,1.9946559477025392,1536,
7,semantic,8192,2,2.0462162472770133,0.46822325165020995,0.01733724942256694,0.5144394989272232,0.3431253569685956,4625.076171875,7041.033203125,7041.033203125,2347.0110677083335,2260.306640625,106.80794270833333,31.914031515580735,22.648812104672515,31.914031515580735,2.0433469996977025,1536,
8,semantic,4096,1,2.0507228015015104,0.46631369797762673,0.01664980254323622,0.517036499479137,0.33057030135448773,4647.186197916667,6942.0078125,6942.0078125,2314.0026041666665,2266.12109375,70.33072916666667,31.465191218130308,22.75708401346664,31.46519121813031,2.0146092805320435,1536,
9,semantic,256,2,2.052109343566801,0.46331926144246627,0.02125213354826641,0.5154286050092673,0.4308615507579606,4592.328125,8068.912109375,8068.912109375,2689.6373697916665,2237.857421875,2814.439453125,36.57297273371104,22.48844623546215,36.57297273371105,2.3416431756348244,1536,
10,semantic,8192,3,2.0594527708558754,0.4612844815317338,0.017978266080656835,0.5207372523876094,0.36990405042108465,4625.72265625,7341.298828125,7341.298828125,2447.099609375,2246.0930989583335,276.896484375,33.275008852691215,22.651977912670883,33.275008852691215,2.1304857542321645,1536,
