rank,scheme,lambda_rel,g_max,l_block,k_max,E_M,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,entry_count_mean_ratio_vs_single_cluster,logical_anchor_count_mean_ratio_vs_single_cluster,fixed3_anchor_count_mean_ratio_vs_single_cluster,current_scheme_physical_slot_count_mean_ratio_vs_vanilla_full,sample_groups,layer_group_count
11,semantic,1.0,inf,0,64,2.101636838350908,0.9148876134203333,458.064453125,458.064453125,500.6783854166667,0.42769210429644167,0.04297895305620883,0.5293289426473495,0.2994543872163641,20802.093098958332,29694.130859375,29694.130859375,9898.043619791666,9898.043619791666,0.0,9.708326734848175,7.773335321754429,9.708326734848175,8.617401942261184,1536,
12,semantic,1.0,inf,1,64,2.101636838350908,0.9148876134203333,458.064453125,458.064453125,500.6783854166667,0.42769210429644167,0.04297895305620883,0.5293289426473495,0.2994543872163641,20802.093098958332,29694.130859375,29694.130859375,9898.043619791666,9898.043619791666,0.0,9.708326734848175,7.773335321754429,9.708326734848175,8.617401942261184,1536,
13,semantic,1.0,4096,1,32,2.2895195535915707,0.9640292663472415,673.5514322916666,673.5514322916666,698.68359375,0.3299148552888252,0.05065073583077882,0.619434408880396,0.23697907640261595,17972.013020833332,23553.76171875,23553.76171875,7851.25390625,7849.6875,1.7532552083333333,7.7007680636724025,6.715789750256905,7.700768063672402,6.835432663240629,1536,
14,semantic,1.0,8192,1,32,2.2896481470873193,0.9640614908115573,674.4049479166666,674.4049479166666,699.5455729166666,0.3298730852156356,0.05060568248140944,0.619521232302955,0.2368661242578376,17955.08984375,23528.099609375,23528.099609375,7842.699869791667,7841.85546875,0.8782552083333334,7.692377983366709,6.7094658899822495,7.6923779833667085,6.827985376360338,1536,
15,semantic,1.0,inf,0,32,2.2897056106334097,0.9640170214033074,674.46484375,674.46484375,699.6399739583334,0.3298240456666621,0.050646298033265945,0.619529656300072,0.23676479645553006,17951.001302083332,23519.619140625,23519.619140625,7839.873046875,7839.873046875,0.0,7.6896053424741515,6.707938081929436,7.689605342474151,6.825524297158403,1536,
16,semantic,1.0,inf,1,32,2.2897056106334097,0.9640170214033074,674.46484375,674.46484375,699.6399739583334,0.3298240456666621,0.050646298033265945,0.619529656300072,0.23676479645553006,17951.001302083332,23519.619140625,23519.619140625,7839.873046875,7839.873046875,0.0,7.6896053424741515,6.707938081929436,7.689605342474151,6.825524297158403,1536,
17,semantic,1.0,4096,1,16,2.432186103252952,0.9858818611931273,1010.4108072916666,1010.4108072916666,1024.8802083333333,0.25728792007225343,0.05323805660254095,0.6894740233252057,0.18937484904235613,14106.435546875,17401.921875,17401.921875,5800.640625,5799.899739583333,0.8020833333333334,5.6894591115288735,5.271299055289135,5.6894591115288735,5.050134522370012,1536,
18,semantic,1.0,8192,1,16,2.4323006843485246,0.985879815186281,1010.4895833333334,1010.4895833333334,1024.9622395833333,0.25725202010111653,0.053195275449242345,0.6895527044496411,0.18930894492447536,14100.346354166666,17392.99609375,17392.99609375,5797.665364583333,5797.123046875,0.5579427083333334,5.686540878254117,5.269023643072899,5.686540878254117,5.047544211003627,1536,
19,semantic,1.0,inf,0,16,2.432341315319931,0.9858652553304595,1010.5690104166666,1010.5690104166666,1025.0579427083333,0.2571817654752113,0.05329515372964616,0.6895230807951425,0.18921956156002295,14093.707682291666,17382.890625,17382.890625,5794.296875,5794.296875,0.0,5.683236952879153,5.266542901239373,5.683236952879153,5.044611547762998,1536,
20,semantic,1.0,inf,1,16,2.432341315319931,0.9858652553304595,1010.5690104166666,1010.5690104166666,1025.0579427083333,0.2571817654752113,0.05329515372964616,0.6895230807951425,0.18921956156002295,14093.707682291666,17382.890625,17382.890625,5794.296875,5794.296875,0.0,5.683236952879153,5.266542901239373,5.683236952879153,5.044611547762998,1536,
21,semantic,1.0,4096,1,15,2.4434559618206158,0.9870712237378474,1046.2897135416667,1046.2897135416667,1059.994140625,0.2515287246113584,0.05348658895666765,0.694984686431974,0.18560984717065943,13749.194661458334,16882.810546875,16882.810546875,5627.603515625,5626.945963541667,0.6888020833333334,5.51973862336017,5.137805123703796,5.51973862336017,4.899485527509069,1536,
22,semantic,1.0,inf,0,15,2.4434920801842117,0.98705525665645,1046.421875,1046.421875,1060.1451822916667,0.2515229167733135,0.053462086269161394,0.6950149969575251,0.18550263993859617,13735.763020833334,16864.09765625,16864.09765625,5621.365885416667,5621.365885416667,0.0,5.51362055049246,5.132785982312459,5.51362055049246,4.894054942563482,1536,
23,semantic,1.0,inf,1,15,2.4434920801842117,0.98705525665645,1046.421875,1046.421875,1060.1451822916667,0.2515229167733135,0.053462086269161394,0.6950149969575251,0.18550263993859617,13735.763020833334,16864.09765625,16864.09765625,5621.365885416667,5621.365885416667,0.0,5.51362055049246,5.132785982312459,5.51362055049246,4.894054942563482,1536,
24,semantic,1.0,8192,1,15,2.443494601361115,0.9870696378761658,1046.408203125,1046.408203125,1060.1158854166667,0.25155193647358076,0.0534015256917234,0.6950465378346958,0.18557487033435882,13741.345052083334,16872.447265625,16872.447265625,5624.149088541667,5623.64453125,0.5130208333333334,5.5163504076586705,5.1348718782113165,5.5163504076586705,4.896478045646917,1536,
