layer,lambda_rel,g_max,l_block,k_max,E_M,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,sample_groups,layer_group_count
0,0.875,4096,1,128,2.4236971996154226,0.0,0.0,0.0,13.708333333333334,0.2769811337493305,0.02234053288591646,0.700678333364753,0.19236334826948331,11383.411458333334,14094.71875,14094.71875,4698.239583333333,4696.713541666667,1.9427083333333333,192,8
3,0.875,4096,1,unclipped,1.924186258473149,0.0,0.0,0.0,133.453125,0.5291441101294722,0.017525521267906716,0.45333036860262116,0.36088790260343384,22760.96875,35613.421875,35613.421875,11871.140625,11828.880208333334,44.65625,192,8
7,0.875,4096,1,unclipped,1.7699383654394485,0.0,0.0,0.0,270.6510416666667,0.6054883183881441,0.019084997784263147,0.3754266838275927,0.41309040564914123,26106.729166666668,44481.6875,44481.6875,14827.229166666666,14750.078125,80.609375,192,8
14,0.875,4096,1,unclipped,1.4967911520016979,0.0,0.0,0.0,646.71875,0.7338447276914879,0.035519392615326224,0.23063587969318586,0.5043850084247714,27768.796875,56028.96875,56028.96875,18676.322916666668,18552.21875,128.03645833333334,192,8
21,0.875,4096,1,unclipped,1.5133004885786376,0.0,0.0,0.0,619.1927083333334,0.7340235545594095,0.0186524023025434,0.24732404313804707,0.500401195731208,26961.489583333332,53966.28125,53966.28125,17988.760416666668,17816.348958333332,176.109375,192,8
24,0.875,4096,1,unclipped,1.7338940421646258,0.0,0.0,0.0,439.5989583333333,0.623921181659218,0.01826359451693842,0.3578152238238437,0.4261613485813214,26979.463541666668,47015.765625,47015.765625,15671.921875,15560.041666666666,114.77083333333333,192,8
26,0.875,4096,1,unclipped,1.5879042524984,0.0,0.0,0.0,899.0052083333334,0.6980723628661567,0.015951021769286557,0.2859766153645567,0.4786586313296235,26387.677083333332,50614.96875,50614.96875,16871.65625,16617.927083333332,255.78125,192,8
27,0.875,4096,1,unclipped,1.754817939405163,0.0,0.0,0.0,1091.9114583333333,0.615247738646766,0.014686583301305085,0.37006567805192897,0.4213257113708194,26847.901041666668,46395.53125,46395.53125,15465.177083333334,15299.536458333334,168.70833333333334,192,8
