g_max,l_block,score,key_ratio_median,key_ratio_mean,key_ratio_p90,key_ratio_max,key_wins,key_valid,value_ratio_median,value_ratio_mean,value_ratio_p90,value_ratio_max,value_wins,value_valid,span_p99_ratio_median,span_p99_ratio_p90,entry_count_ratio_median,entry_count_ratio_p90,layer_group_count
256,1,0.6501186785790637,0.5170327577133602,0.48586596865580745,0.704218552647857,0.8444349907505427,40,40,0.8174613502375122,0.805197571761145,0.9584589330003018,1.041143182535394,37,40,190.31612903225792,229.46209677419355,1.0361645767755474,1.6484252713418308,40
256,2,0.6511903230719636,0.5181240753807608,0.4860358721321999,0.7042982377655261,0.8432757004848901,40,40,0.8184310612297679,0.8055379787212719,0.9581933445991685,1.0418470004474294,37,40,172.68161290322584,196.52390322580646,1.0872852056349656,1.8884754975316924,40
256,3,0.6543911946753406,0.5220178513055911,0.4871543083405257,0.7054287920193452,0.8439223100191261,40,40,0.8203317848184726,0.8078270914608794,0.960733356088581,1.0429714671664319,37,40,152.9516129032258,170.7516129032258,1.1149784130588094,2.114775444209368,40
1024,1,0.6560944411303131,0.5227918051903162,0.49048094405051523,0.7077731243337526,0.8297983920546254,40,40,0.8233868844317368,0.8100742824145278,0.9475528315997233,1.0444744603469551,37,40,194.52129032257983,233.20493548387114,0.9808899668025527,1.6199133082202386,40
1024,2,0.6569710143505838,0.5236816830574297,0.4908331519383675,0.7062086199313484,0.8299232769279749,40,40,0.824185622030821,0.810733721439874,0.9484120874702212,1.044980661078368,37,40,175.8858064516129,205.76538709677416,1.033489860157903,1.7877805872336037,40
4096,1,0.6574731327925719,0.5228330462870849,0.4927151965503561,0.7091405897440387,0.8304597437048471,40,40,0.8267857653869897,0.8117035921808189,0.9462788614957383,1.055619495561972,37,40,195.3024193548386,237.91738709677438,0.9730464248241224,1.567165488415295,40
4096,2,0.6578566970060028,0.5233448552778752,0.4927936505687578,0.7092170378300661,0.8307401516066839,40,40,0.8269412213211904,0.8118461029327847,0.9466409973467917,1.0565869188060826,37,40,178.96000000000078,217.23216129032298,0.9811651788017957,1.6834098766706227,40
8192,1,0.6578921699409804,0.524222064076558,0.49359964308092613,0.7099497579661428,0.8308940475308438,40,40,0.8256464901607842,0.8125735629340166,0.9456635310853992,1.0592116590059841,37,40,200.93548387096774,243.67193548387084,0.9847171336670278,1.5571271307429004,40
8192,2,0.6579150463422361,0.5242908279255235,0.49362736944830476,0.7100301103611051,0.830982611861868,40,40,0.8255956143962795,0.8126259101872965,0.945710974547749,1.059032373444562,37,40,194.40322580645162,233.8363870967742,0.9870220341606895,1.6207045427180624,40
8192,3,0.6583142297871176,0.5247553420355038,0.4937763597107662,0.7101374088331843,0.8307552089596087,40,40,0.825866056854519,0.8128456356477847,0.9454403632347045,1.0590085279923462,37,40,190.42967741935576,226.1483870967742,1.0020296884944182,1.7291999931197,40
inf,0,0.6586325481436998,0.5248318526184453,0.49440141444548136,0.710516410091338,0.8361637626844587,40,40,0.8265444090521594,0.8134032460980223,0.9495389366861906,1.0603908176675567,37,40,213.15806451612883,254.63522580645147,0.9726508075752103,1.528689130846105,40
inf,1,0.6586325481436998,0.5248318526184453,0.49440141444548136,0.710516410091338,0.8361637626844587,40,40,0.8265444090521594,0.8134032460980223,0.9495389366861906,1.0603908176675567,37,40,213.15806451612883,254.63522580645147,0.9726508075752103,1.528689130846105,40
inf,2,0.6586325481436998,0.5248318526184453,0.49440141444548136,0.710516410091338,0.8361637626844587,40,40,0.8265444090521594,0.8134032460980223,0.9495389366861906,1.0603908176675567,37,40,213.15806451612883,254.63522580645147,0.9726508075752103,1.528689130846105,40
inf,3,0.6586325481436998,0.5248318526184453,0.49440141444548136,0.710516410091338,0.8361637626844587,40,40,0.8265444090521594,0.8134032460980223,0.9495389366861906,1.0603908176675567,37,40,213.15806451612883,254.63522580645147,0.9726508075752103,1.528689130846105,40
1024,3,0.6590692608018687,0.5261045723076728,0.491653829636671,0.7074561015332496,0.8289281994036417,40,40,0.8256386912370246,0.8119660193603229,0.9488753829122574,1.0459633978859293,37,40,152.83870967741936,180.2693870967743,1.0751156750434319,1.983747011369696,40
4096,3,0.6590991912570033,0.5251181738567565,0.49331467620489394,0.7099673120482543,0.8311116208140827,40,40,0.8272647292419479,0.8126064816983762,0.9471941928081338,1.0571458810034051,37,40,169.6529032258062,204.73180645161227,1.0087637821008997,1.8156716032819031,40
