layer,lambda_rel,g_max,token_isolation_lift,needle_token_isolated_rate,random_token_isolated_rate,span_all_tokens_isolation_lift,span_all_tokens_isolated_rate,random_span_all_tokens_isolated_rate,span_any_token_isolation_lift,span_any_token_isolated_rate,random_span_any_token_isolated_rate,cluster_count_mean,segment_count_mean,sample_groups,span_count,needle_token_count,layer_group_count
0,2.0,inf,1500.0,0.01,6.666666666666667e-06,,0.0,0.0,366.66666666666663,0.057291666666666664,0.00015625,4.651041666666667,4.651041666666667,192,192,6000,8
3,1.25,inf,109.46745562130178,0.030833333333333334,0.00028166666666666666,,0.0,0.0,33.333333333333336,0.23958333333333334,0.0071875,20.973958333333332,20.973958333333332,192,192,6000,8
7,2.0,inf,175.0,0.0035,2e-05,,0.0,0.0,118.18181818181817,0.06770833333333333,0.0005729166666666667,8.572916666666666,8.572916666666666,192,192,6000,8
14,2.0,inf,60.0,0.0015,2.5e-05,,0.0,0.0,90.0,0.046875,0.0005208333333333333,7.703125,7.703125,192,192,6000,8
21,1.25,inf,17.616191904047977,0.03916666666666667,0.0022233333333333332,,0.0,0.0,10.047846889952153,0.4375,0.043541666666666666,71.86458333333333,71.86458333333333,192,192,6000,8
24,1.0,inf,9.90014612761812,0.1355,0.013686666666666666,,0.0,0.0,4.4958253050738595,0.7291666666666666,0.1621875,289.0833333333333,289.0833333333333,192,192,6000,8
26,2.0,inf,7.616361071932299,0.009,0.0011816666666666666,,0.0,0.0,4.665314401622719,0.11979166666666667,0.025677083333333333,33.520833333333336,33.520833333333336,192,192,6000,8
27,1.0,inf,5.740397574123989,0.22716666666666666,0.039573333333333335,0.0,0.0,5.208333333333334e-05,2.3945120372767277,0.9635416666666666,0.40239583333333334,799.375,799.375,192,192,6000,8
