layer,g_max,l_block,E_M,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,sample_groups,layer_group_count
0,256,2,2.5191663381947182,0.2361672250689791,0.008499211667323611,0.7553335632636973,0.195021726808993,1065.1875,1323.25,1323.25,441.0833333333333,422.8333333333333,193.79166666666666,192,8
3,inf,0,2.2232052804984646,0.3829257906179259,0.010943138265683484,0.6061310711163906,0.2589315731671784,4133.03125,5577.125,5577.125,1859.0416666666667,1859.0416666666667,0.0,192,8
7,256,1,2.1064907131071164,0.44104377607124834,0.011421734750386993,0.5475344891783647,0.35156854086340006,5804.6875,8951.890625,8951.890625,2983.9635416666665,2755.6197916666665,1344.546875,192,8
14,inf,0,1.9056391591474935,0.5303709851146858,0.03361887062313492,0.4360101442621793,0.36478694695083547,8993.505208333334,14158.25,14158.25,4719.416666666667,4719.416666666667,0.0,192,8
21,256,1,1.910753321671561,0.5309044545998413,0.02743776912875643,0.44165777627140235,0.4152633724101229,8749.916666666666,14963.859375,14963.859375,4987.953125,4579.302083333333,2120.203125,192,8
24,256,1,2.0084276192211283,0.48841241621068104,0.014747548357509471,0.4968400354318095,0.38150429919993967,6660.40625,10768.71875,10768.71875,3589.5729166666665,3316.2291666666665,1488.0729166666667,192,8
26,256,1,1.7839556459286152,0.6016451032840059,0.012754147503372953,0.38560074921262116,0.4715467237214299,8691.041666666666,16446.1875,16446.1875,5482.0625,4871.78125,2233.7708333333335,192,8
27,256,1,1.7326406210717384,0.6294708964761971,0.008417585975867394,0.36211151754793547,0.47544391124883334,6855.833333333333,13069.78125,13069.78125,4356.59375,3956.8697916666665,1317.71875,192,8
