layer,lambda_rel,g_max,l_block,k_max,E_M,K_max_binding_rate,ward_merge_count_mean,k_max_binding_count_mean,new_cluster_attempt_count_mean,m_fractions.1,m_fractions.2,m_fractions.3,gather_savings_fraction_vs_fixed3,logical_anchor_count_mean,fixed3_anchor_count_mean,current_scheme_physical_slot_count_mean,entry_count_mean,real_entry_count_mean,pad_entry_count_mean,sample_groups,layer_group_count
0,1.0,4096,1,128,2.4612444338403034,0.0,0.0,0.0,11.109375,0.2562271601812334,0.026301245797229884,0.7174715940215367,0.1797878749155698,10530.5625,12838.828125,12838.828125,4279.609375,4278.552083333333,1.1822916666666667,192,8
3,1.0,4096,1,unclipped,2.103591947842526,0.0,0.0,0.0,63.151041666666664,0.43564086698233806,0.025126318192797793,0.5392328148248642,0.3000248470821745,19866.651041666668,28381.9375,28381.9375,9460.645833333334,9444.15625,18.5625,192,8
7,1.0,4096,1,unclipped,1.9247466759882514,0.0,0.0,0.0,141.046875,0.5253976238484788,0.024458076314791053,0.45014429983673016,0.36043287419986647,23516.09375,36768.765625,36768.765625,12256.255208333334,12217.760416666666,42.015625,192,8
14,1.0,4096,1,unclipped,1.7105971455255713,0.0,0.0,0.0,285.1302083333333,0.6166515804858596,0.056099693502709685,0.3272487260114308,0.43183279940352803,26004.515625,45769.125,45769.125,15256.375,15202.010416666666,58.145833333333336,192,8
21,1.0,4096,1,unclipped,1.701889430737155,0.0,0.0,0.0,282.8958333333333,0.632621892392805,0.03286678447723501,0.33451132312996,0.4356455984096087,25496.15625,45177.5625,45177.5625,15059.1875,14981.088541666666,81.54166666666667,192,8
24,1.0,4096,1,unclipped,1.8880005607991863,0.0,0.0,0.0,286.890625,0.5427450961754763,0.026509246849861067,0.43074565697466266,0.3737397821908528,24828.859375,39646.234375,39646.234375,13215.411458333334,13150.875,67.33333333333333,192,8
26,1.0,4096,1,unclipped,1.6955698590835244,0.0,0.0,0.0,608.5,0.6411937284678934,0.022042683980688798,0.33676358755141783,0.4414318174593347,24526.135416666668,43908.9375,43908.9375,14636.3125,14464.833333333334,174.13020833333334,192,8
27,1.0,4096,1,unclipped,1.873955810587568,0.0,0.0,0.0,796.0625,0.5549149999140626,0.01621418958430679,0.4288708105016306,0.38093783724863606,24418.239583333332,39443.921875,39443.921875,13147.973958333334,13030.317708333334,119.734375,192,8
